district,region,estimated_population,is_urban,city_name
Kampala,Central,1766500,True,Kampala Capital City
Wakiso,Central,3519300,True,
Mubende,Central,641800,False,
Masaka,Central,364800,True,Masaka City
Kayunga,Central,427100,False,
Butambala,Central,110900,False,
Kiboga,Central,183300,False,
Nakaseke,Central,254900,False,
Jinja,Eastern,535800,True,Jinja City
Mbale,Eastern,639700,True,Mbale City
Soroti,Eastern,401000,True,Soroti City
Bugiri,Eastern,536400,False,
Butaleja,Eastern,332200,False,
Kumi,Eastern,309500,False,
Bukwo,Eastern,137200,False,
Pallisa,Eastern,399500,False,
Gulu,Northern,352500,True,Gulu City
Lira,Northern,516000,True,Lira City
Arua,Northern,557900,True,Arua City
Moroto,Northern,126300,False,
Apac,Northern,249600,False,
Nwoya,Northern,314300,False,
Adjumani,Northern,240000,False,
Abim,Northern,182800,False,
Nebbi,Northern,306300,False,
Mbarara,Western,414000,True,Mbarara City
Kabarole,Western,357500,True,Fort Portal City
Hoima,Western,413100,True,Hoima City
Kabale,Western,256900,False,
Kasese,Western,843900,False,
Bundibugyo,Western,285000,False,
Kanungu,Western,235400,False,
